Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session,TrackTemp,AirTemp,Humidity
0 days 00:25:01.323000,PER,11,,1.0,1.0,0 days 00:23:20.185000,,,0 days 00:00:33.480000,0 days 00:00:33.799000,,0 days 00:24:27.696000,0 days 00:25:01.742000,251.0,256.0,284.0,178.0,False,SOFT,1.0,True,Cadillac,0 days 00:23:20.185000,2026-09-05 10:40:22.218,1,,,,False,False,FP3,51.3,31.3,40.8
0 days 00:26:27.704000,PER,11,0 days 00:01:26.381000,2.0,1.0,,,0 days 00:00:27.916000,0 days 00:00:29.189000,0 days 00:00:29.276000,0 days 00:25:29.239000,0 days 00:25:58.428000,0 days 00:26:27.704000,293.0,314.0,274.0,319.0,True,SOFT,2.0,True,Cadillac,0 days 00:25:01.323000,2026-09-05 10:42:03.356,1,,,,False,True,FP3,51.3,31.3,40.8
0 days 00:28:55.578000,PER,11,0 days 00:02:27.874000,3.0,1.0,,0 days 00:28:51.785000,0 days 00:00:45.766000,0 days 00:00:51.747000,0 days 00:00:50.361000,0 days 00:27:13.470000,0 days 00:28:05.217000,0 days 00:28:55.578000,150.0,182.0,,169.0,False,SOFT,3.0,True,Cadillac,0 days 00:26:27.704000,2026-09-05 10:43:29.737,1,,,,False,False,FP3,51.3,31.3,40.8
0 days 00:31:21.340000,PER,11,0 days 00:02:25.762000,4.0,2.0,0 days 00:29:10.792000,,0 days 00:01:00.040000,0 days 00:00:51.104000,0 days 00:00:34.618000,0 days 00:29:55.618000,0 days 00:30:46.722000,0 days 00:31:21.340000,169.0,165.0,283.0,161.0,False,SOFT,4.0,False,Cadillac,0 days 00:28:55.578000,2026-09-05 10:45:57.611,1,,,,False,False,FP3,51.3,31.3,40.8
0 days 00:32:47.442000,PER,11,0 days 00:01:26.102000,5.0,2.0,,,0 days 00:00:28.007000,0 days 00:00:29.230000,0 days 00:00:28.865000,0 days 00:31:49.347000,0 days 00:32:18.577000,0 days 00:32:47.442000,288.0,297.0,272.0,310.0,True,SOFT,5.0,False,Cadillac,0 days 00:31:21.340000,2026-09-05 10:48:23.373,1,,,,False,True,FP3,51.3,31.3,40.8
0 days 00:35:05.938000,PER,11,0 days 00:02:18.496000,6.0,2.0,,0 days 00:35:01.952000,0 days 00:00:43.798000,0 days 00:00:45.298000,0 days 00:00:49.400000,0 days 00:33:31.240000,0 days 00:34:16.538000,0 days 00:35:05.938000,181.0,179.0,,165.0,False,SOFT,6.0,False,Cadillac,0 days 00:32:47.442000,2026-09-05 10:49:49.475,12,,,,False,False,FP3,51.3,31.3,40.8
0 days 00:41:50.265000,PER,11,,7.0,3.0,0 days 00:39:52.413000,,,0 days 00:00:34.251000,0 days 00:00:44.187000,,0 days 00:41:06.242000,0 days 00:41:50.389000,155.0,265.0,285.0,200.0,False,SOFT,7.0,False,Cadillac,0 days 00:35:05.938000,2026-09-05 10:52:07.971,1,,,,False,False,FP3,51.3,31.3,40.8
0 days 00:43:15.296000,PER,11,0 days 00:01:25.031000,8.0,3.0,,,0 days 00:00:27.569000,0 days 00:00:28.911000,0 days 00:00:28.551000,0 days 00:42:17.834000,0 days 00:42:46.745000,0 days 00:43:15.296000,295.0,307.0,279.0,323.0,True,SOFT,8.0,False,Cadillac,0 days 00:41:50.265000,2026-09-05 10:58:52.298,1,,,,False,True,FP3,51.0,31.4,40.1
0 days 00:45:37.575000,PER,11,0 days 00:02:22.279000,9.0,3.0,,,0 days 00:00:49.025000,0 days 00:00:44.949000,0 days 00:00:48.305000,0 days 00:44:04.321000,0 days 00:44:49.270000,0 days 00:45:37.575000,177.0,166.0,189.0,118.0,False,SOFT,9.0,False,Cadillac,0 days 00:43:15.296000,2026-09-05 11:00:17.329,12,,,,False,True,FP3,51.0,31.4,40.1
0 days 00:48:03.127000,PER,11,0 days 00:02:25.552000,10.0,3.0,,,0 days 00:00:49.816000,0 days 00:00:55.802000,0 days 00:00:39.934000,0 days 00:46:27.391000,0 days 00:47:23.193000,0 days 00:48:03.127000,144.0,146.0,277.0,181.0,False,SOFT,10.0,False,Cadillac,0 days 00:45:37.575000,2026-09-05 11:02:39.608,1,,,,False,True,FP3,51.0,31.4,40.1
