Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 00:48:53.309000,GAS,10,,14.0,4.0,0 days 00:47:19.928000,,,0 days 00:00:41.644000,0 days 00:00:25.828000,,0 days 00:48:27.715000,0 days 00:48:53.449000,156.0,174.0,270.0,219.0,False,SOFT,1.0,True,Alpine,0 days 00:42:06.147000,2026-06-26 11:59:06.069,1,,,,False,False,FP1
0 days 00:50:25.006000,GAS,10,0 days 00:01:31.697000,15.0,4.0,,,0 days 00:00:16.993000,0 days 00:00:36.883000,0 days 00:00:37.821000,0 days 00:49:10.302000,0 days 00:49:47.185000,0 days 00:50:25.006000,310.0,131.0,158.0,316.0,False,SOFT,2.0,True,Alpine,0 days 00:48:53.309000,2026-06-26 12:05:53.231,1,,,,False,True,FP1
0 days 00:52:12.965000,GAS,10,0 days 00:01:47.959000,16.0,4.0,,,0 days 00:00:31.047000,0 days 00:00:47.895000,0 days 00:00:29.017000,0 days 00:50:56.053000,0 days 00:51:43.948000,0 days 00:52:12.965000,170.0,156.0,270.0,255.0,False,SOFT,3.0,True,Alpine,0 days 00:50:25.006000,2026-06-26 12:07:24.928,1,,,,False,True,FP1
0 days 00:53:22.511000,GAS,10,0 days 00:01:09.546000,17.0,4.0,,,0 days 00:00:17.125000,0 days 00:00:31.163000,0 days 00:00:21.258000,0 days 00:52:30.090000,0 days 00:53:01.253000,0 days 00:53:22.511000,310.0,220.0,268.0,316.0,True,SOFT,4.0,True,Alpine,0 days 00:52:12.965000,2026-06-26 12:09:12.887,1,,,,False,True,FP1
0 days 00:54:51.684000,GAS,10,0 days 00:01:29.173000,18.0,4.0,,0 days 00:54:47.481000,0 days 00:00:19.860000,0 days 00:00:41.183000,0 days 00:00:28.130000,0 days 00:53:42.371000,0 days 00:54:23.554000,0 days 00:54:51.684000,251.0,181.0,,241.0,False,SOFT,5.0,True,Alpine,0 days 00:53:22.511000,2026-06-26 12:10:22.433,1,,,,False,False,FP1
0 days 01:00:46.846000,GAS,10,,19.0,5.0,0 days 00:59:21.815000,,,0 days 00:00:40.183000,0 days 00:00:24.208000,,0 days 01:00:22.784000,0 days 01:00:47.316000,224.0,200.0,284.0,238.0,False,HARD,14.0,False,Alpine,0 days 00:54:51.684000,2026-06-26 12:11:51.606,12,,,,False,False,FP1
0 days 01:01:59.384000,GAS,10,0 days 00:01:12.538000,20.0,5.0,,,0 days 00:00:17.466000,0 days 00:00:32.597000,0 days 00:00:22.475000,0 days 01:01:04.312000,0 days 01:01:36.909000,0 days 01:01:59.384000,295.0,211.0,285.0,299.0,False,HARD,15.0,False,Alpine,0 days 01:00:46.846000,2026-06-26 12:17:46.768,1,,,,False,True,FP1
0 days 01:03:12.007000,GAS,10,0 days 00:01:12.623000,21.0,5.0,,,0 days 00:00:17.469000,0 days 00:00:32.608000,0 days 00:00:22.546000,0 days 01:02:16.853000,0 days 01:02:49.461000,0 days 01:03:12.007000,305.0,205.0,285.0,304.0,False,HARD,16.0,False,Alpine,0 days 01:01:59.384000,2026-06-26 12:18:59.306,1,,,,False,True,FP1
0 days 01:04:24.547000,GAS,10,0 days 00:01:12.540000,22.0,5.0,,,0 days 00:00:17.441000,0 days 00:00:32.508000,0 days 00:00:22.591000,0 days 01:03:29.448000,0 days 01:04:01.956000,0 days 01:04:24.547000,308.0,207.0,283.0,304.0,False,HARD,17.0,False,Alpine,0 days 01:03:12.007000,2026-06-26 12:20:11.929,1,,,,False,True,FP1
0 days 01:05:37.186000,GAS,10,0 days 00:01:12.639000,23.0,5.0,,,0 days 00:00:17.386000,0 days 00:00:32.515000,0 days 00:00:22.738000,0 days 01:04:41.933000,0 days 01:05:14.448000,0 days 01:05:37.186000,315.0,204.0,282.0,315.0,False,HARD,18.0,False,Alpine,0 days 01:04:24.547000,2026-06-26 12:21:24.469,1,,,,False,True,FP1
0 days 01:06:51.405000,GAS,10,0 days 00:01:14.219000,24.0,5.0,,,0 days 00:00:17.768000,0 days 00:00:33.660000,0 days 00:00:22.791000,0 days 01:05:54.954000,0 days 01:06:28.614000,0 days 01:06:51.405000,301.0,205.0,281.0,299.0,False,HARD,19.0,False,Alpine,0 days 01:05:37.186000,2026-06-26 12:22:37.108,1,,,,False,True,FP1
