Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session,TrackTemp,AirTemp,Humidity
0 days 00:17:03.078000,ALO,14,,1.0,1.0,0 days 00:14:46.336000,,,0 days 00:00:58.897000,0 days 00:00:42.843000,,0 days 00:16:20.536000,0 days 00:17:03.342000,270.0,180.0,202.0,259.0,False,MEDIUM,1.0,True,Aston Martin,0 days 00:14:46.336000,2026-07-17 15:01:26.652,1,,,,False,False,FP2,33.7,22.8,50.3
0 days 00:18:56.791000,ALO,14,0 days 00:01:53.713000,2.0,1.0,,,0 days 00:00:32.466000,0 days 00:00:51.373000,0 days 00:00:29.874000,0 days 00:17:35.544000,0 days 00:18:26.917000,0 days 00:18:56.791000,278.0,203.0,201.0,296.0,True,MEDIUM,2.0,True,Aston Martin,0 days 00:17:03.078000,2026-07-17 15:03:43.394,1,,,,False,True,FP2,35.2,23.0,49.1
0 days 00:21:45.458000,ALO,14,,3.0,1.0,,,0 days 00:00:52.895000,0 days 00:01:16.745000,0 days 00:00:38.937000,0 days 00:19:50.038000,0 days 00:21:06.752000,0 days 00:21:45.566000,168.0,123.0,203.0,169.0,False,MEDIUM,3.0,True,Aston Martin,0 days 00:18:56.791000,2026-07-17 15:05:37.107,1,,,,False,False,FP2,35.5,23.2,47.7
0 days 00:23:38.390000,ALO,14,0 days 00:01:52.932000,4.0,1.0,,,0 days 00:00:32.345000,0 days 00:00:50.714000,0 days 00:00:29.873000,0 days 00:22:17.803000,0 days 00:23:08.517000,0 days 00:23:38.390000,278.0,207.0,194.0,295.0,True,MEDIUM,4.0,True,Aston Martin,0 days 00:21:45.458000,2026-07-17 15:08:25.774,1,,,,False,True,FP2,35.9,23.7,43.1
0 days 00:31:12.700000,ALO,14,,5.0,1.0,,0 days 00:26:42.355000,0 days 00:00:53.435000,,,0 days 00:24:32.039000,,,171.0,,,146.0,False,MEDIUM,5.0,True,Aston Martin,0 days 00:23:38.390000,2026-07-17 15:10:18.706,152,,,,False,False,FP2,35.6,23.8,42.0
0 days 00:33:14.862000,ALO,14,,6.0,2.0,0 days 00:31:12.700000,,,0 days 00:00:58.011000,0 days 00:00:33.494000,,0 days 00:32:41.500000,0 days 00:33:14.862000,264.0,188.0,207.0,242.0,False,MEDIUM,6.0,False,Aston Martin,0 days 00:31:12.700000,2026-07-17 15:17:53.016,1,,,,False,False,FP2,35.2,24.1,41.0
0 days 00:35:07.617000,ALO,14,0 days 00:01:52.755000,7.0,2.0,,,0 days 00:00:32.200000,0 days 00:00:50.568000,0 days 00:00:29.987000,0 days 00:33:47.062000,0 days 00:34:37.630000,0 days 00:35:07.617000,277.0,206.0,196.0,295.0,True,MEDIUM,7.0,False,Aston Martin,0 days 00:33:14.862000,2026-07-17 15:19:55.178,1,,,,False,True,FP2,35.1,24.1,42.1
0 days 00:37:40.877000,ALO,14,,8.0,2.0,,,0 days 00:00:36.358000,0 days 00:01:04.272000,0 days 00:00:52.568000,0 days 00:35:44.160000,0 days 00:36:48.450000,0 days 00:37:40.877000,232.0,129.0,203.0,249.0,False,MEDIUM,8.0,False,Aston Martin,0 days 00:35:07.617000,2026-07-17 15:21:47.933,1,,,,False,False,FP2,34.5,24.1,40.7
0 days 00:39:48.712000,ALO,14,0 days 00:02:07.835000,9.0,2.0,,0 days 00:39:44.814000,0 days 00:00:32.503000,0 days 00:00:51.109000,0 days 00:00:44.223000,0 days 00:38:13.380000,0 days 00:39:04.489000,0 days 00:39:48.712000,271.0,163.0,,291.0,False,MEDIUM,9.0,False,Aston Martin,0 days 00:37:40.877000,2026-07-17 15:24:21.193,1,,,,False,False,FP2,34.5,24.4,41.5
0 days 00:45:20.171000,ALO,14,,10.0,3.0,0 days 00:42:56.421000,,,0 days 00:01:08.835000,0 days 00:00:41.877000,,0 days 00:44:38.338000,0 days 00:45:20.179000,261.0,184.0,206.0,225.0,False,SOFT,1.0,True,Aston Martin,0 days 00:39:48.712000,2026-07-17 15:26:29.028,1,,,,False,False,FP2,34.3,24.6,39.5
